"id:ID","label","identifier","notation","alt_label","pref_label","definition","extensible","uuid","uri"
"371","Action Taken with Study Treatment ","C49499","[ACN]","['Action Taken with Study Treatment']","","The reason that changes were made to the therapy under study. (NCI)","False","b6c3229e-8661-4cfc-8bc9-07ffb7f7c1fc","dataset/cdisc/ct/sc/2007-03-06/sdtm/C49499"
"372","Dose Increased","C49503","DOSE INCREASED","[]","Dose Increased","An indication that a medication schedule was modified by addition; either by changing the frequency, strength or amount. (NCI)","False","e1dd6a1f-08ac-451a-a9a5-efbbcba8cd9c","dataset/cdisc/ct/sc/2007-03-06/sdtm/C49499/C49503"
"373","Dose Not Changed","C49504","DOSE NOT CHANGED","[]","Dose Not Changed","An indication that a medication schedule was maintained. (NCI)","False","b752c735-9bb2-4321-a809-251337465a1f","dataset/cdisc/ct/sc/2007-03-06/sdtm/C49499/C49504"
"374","Dose Reduced","C49505","DOSE REDUCED","[]","Dose Reduced","An indication that a medication schedule was modified by subtraction, either by changing the frequency, strength or amount. (NCI)","False","75332560-594c-4304-b974-bd1591778152","dataset/cdisc/ct/sc/2007-03-06/sdtm/C49499/C49505"
"375","Drug Interrupted","C49501","DRUG INTERRUPTED","[]","Drug Interrupted","An indication that a medication schedule was modified by temporarily terminating a prescribed regimen of medication. (NCI)","False","21b69599-b720-43f1-abc0-83d333e2117f","dataset/cdisc/ct/sc/2007-03-06/sdtm/C49499/C49501"
"376","Drug Withdrawn","C49502","DRUG WITHDRAWN","[]","Drug Withdrawn","An indication that a medication schedule was modified through termination of a prescribed regimen of medication. (NCI)","False","b24400fb-c89b-4d66-a68c-7f088df87c8d","dataset/cdisc/ct/sc/2007-03-06/sdtm/C49499/C49502"
"377","Not Applicable","C48660","","['NOT APPLICABLE']","Not Applicable","Determination of a value is not relevant in the current context. (NCI)","False","3b6446b2-a643-469b-a1a4-dc5e278b14d8","dataset/cdisc/ct/sc/2007-03-06/sdtm/C49499/C48660"
"378","Unknown","C17998","U","['UNKNOWN', 'Unknown']","Unknown","Not known, not observed, not recorded, or refused. (NCI)","False","09c18a95-120d-45ee-bf48-d486b954aa3c","dataset/cdisc/ct/sc/2007-03-06/sdtm/C49499/C17998"
"379","Adverse Event Outcome","C49489","[OUT]","['Outcome of Event']","","A condition or event that is attributed to the adverse event and is the result or conclusion of the adverse event. (NCI)","False","cd1f7bd7-bd6a-4998-b1cb-00c00fbe3d0f","dataset/cdisc/ct/sc/2007-03-06/sdtm/C49489"
"380","Death Related to Adverse Event","C48275","5","['Grade 5', 'FATAL']","Death Related to Adverse Event","The termination of life as a result of an adverse event. (NCI)","False","65359f38-0267-45bc-8ab3-b5de0fcec738","dataset/cdisc/ct/sc/2007-03-06/sdtm/C49489/C48275"
"381","Not Recovered or Not Resolved","C49494","NOT RECOVERED/NOT RESOLVED","[]","Not Recovered or Not Resolved","One of the possible results of an adverse event outcome that indicates that the event has not improved or recuperated. (NCI)","False","b9ea5cf3-c821-49ad-b9ff-7c8b5ba193b0","dataset/cdisc/ct/sc/2007-03-06/sdtm/C49489/C49494"
